Geo Point;Geo Shape;gid;geom_o;geom_err;typologie;nombre;insee;cdate;mdate
44.8564183,-0.5358983;"{""type"": ""Point"", ""coordinates"": [-0.5358983, 44.8564183]}";1109454806;0;;;4;33119;2019-07-18T00:00:00+02:00;2019-07-18T00:00:00+02:00
44.8573533,-0.5315737;"{""type"": ""Point"", ""coordinates"": [-0.5315737, 44.8573533]}";1109434377;0;;;5;33119;2019-04-04T00:00:00+02:00;2019-04-04T00:00:00+02:00
44.8619988,-0.5196413;"{""type"": ""Point"", ""coordinates"": [-0.5196413, 44.8619988]}";1109474231;0;;;3;33119;2019-12-20T00:00:00+01:00;2019-12-20T00:00:00+01:00
44.8588091,-0.5216821;"{""type"": ""Point"", ""coordinates"": [-0.5216821, 44.8588091]}";1109538565;0;;;6;33119;2020-11-30T00:00:00+01:00;2020-11-30T00:00:00+01:00
44.8207595,-0.5871568;"{""type"": ""Point"", ""coordinates"": [-0.5871568, 44.8207595]}";1109432700;0;;;3;33522;2019-04-04T00:00:00+02:00;2019-04-04T00:00:00+02:00
44.8212146,-0.5830736;"{""type"": ""Point"", ""coordinates"": [-0.5830736, 44.8212146]}";1109449278;0;;;2;33522;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.824073,-0.5913178;"{""type"": ""Point"", ""coordinates"": [-0.5913178, 44.824073]}";1109505718;0;;;3;33522;2020-06-08T00:00:00+02:00;2020-06-08T00:00:00+02:00
44.8187275,-0.5908766;"{""type"": ""Point"", ""coordinates"": [-0.5908766, 44.8187275]}";1109505734;0;;;3;33522;2020-06-08T00:00:00+02:00;2020-06-08T00:00:00+02:00
44.8178503,-0.5948609;"{""type"": ""Point"", ""coordinates"": [-0.5948609, 44.8178503]}";1109432694;0;;;6;33522;2019-04-04T00:00:00+02:00;2019-04-04T00:00:00+02:00
44.8128567,-0.5908544;"{""type"": ""Point"", ""coordinates"": [-0.5908544, 44.8128567]}";1109523299;0;;;3;33522;2020-07-29T00:00:00+02:00;2020-07-29T00:00:00+02:00
44.806444,-0.5903106;"{""type"": ""Point"", ""coordinates"": [-0.5903106, 44.806444]}";1109044924;0;;;3;33522;2014-12-15T00:00:00+01:00;2014-12-15T00:00:00+01:00
44.7914497,-0.5929548;"{""type"": ""Point"", ""coordinates"": [-0.5929548, 44.7914497]}";1109523217;0;;;3;33522;2020-07-29T00:00:00+02:00;2020-07-29T00:00:00+02:00
44.8185471,-0.5880603;"{""type"": ""Point"", ""coordinates"": [-0.5880603, 44.8185471]}";1109505732;0;;;3;33522;2020-06-08T00:00:00+02:00;2020-06-08T00:00:00+02:00
44.8614042,-0.4896079;"{""type"": ""Point"", ""coordinates"": [-0.4896079, 44.8614042]}";1109434173;0;;;1;33013;2019-04-04T00:00:00+02:00;2019-04-04T00:00:00+02:00
44.85857,-0.4942931;"{""type"": ""Point"", ""coordinates"": [-0.4942931, 44.85857]}";1109434395;0;;;5;33013;2019-04-04T00:00:00+02:00;2019-04-04T00:00:00+02:00
